"name","order_id"
"1 Medium thin crust with pepperoni and onions....1 Large Regular Crust with pepperoni and sausage...1 order cheezy bread. Thanks.",193
"Order 1 hot wings with blue cheese and Italian stallion with chips and order of cannoli balls.",692
"A large White pizza",186
"2 liter of mello yello",186
"one large half hawiian half peperoni and peppers (not bellpeppers but the other ones).",871
"Mozzarella stick appetizer , one large cheese pizza one large meat lovers type pizza.",846
"2 grilled chicken Caesar salads one with Caesar dressing on the side and the other with balsamic vinaigrette on the side  .",672
"Large cheese pizza.",672
"Large Flyin Hawaiin, 10 wings, 5 lemon pepper, 5 plum.",872
"1 large double pepperoni and pineapple pizza.",847
"One large margarita with anchovies on the whole pie .",875
"2 kids chicken fingers.",877
"Small st nick.",877
"Large with mushrooms sausage. No onions. Extra cheese",76
"One medium veggie delight pizza.",674
"One meaty and beefy pizza medium.",674
"Pizza",93
"I meant delivery",97
"I will need to start over I guess?",97
"Pickup",122
"Will 2 suxs",122
"Medium Pepperoni Pizza.",756
"Caesar Salad .",756
"20oz coke .",756
"20 oz diet coke.",756
"Large pepperoni",63
"Flyin Hawaiian pizza",101
"Bacon provolone fries",118
"Club with fries no mayo",111
"C===3",119
"Boner boner boner boner",113
"Medium The Zeus pizza",135
"Pep pizza",137
"2 long hammer IPA draft beers please",114
"Eat a bit .com text ordering rocks - thanks for spreading the word!",114
"1 large pie with pepperoni mushrooms green peppers and banana peppers. 1 small pizza, pepperoni on half, just cheese on the other half. 1 large Greek salad",136
"Greek dressing on the side",136
"1 small cheese pizza. 10 honey bbq wings with blue cheese dressing",265
"Italian Stallion no mayo,  with fries.",305
"10 honey bbq wings with blue cheese dressing.",310
"(1/3) 
 1 calzone with pepperoni,  onion, mushroom and spinach..1 calz",327
"(2/3) one with pepperoni,  basil, sausage and jalapenos...1 calzone sa",327
"(3/3) usage, pepperoni, jalapeños,  and onion",327
"Test test test big test test test",191
"Large pepperoni and sausage...cheezy bread",214
"1 large sausage and pepperoni pizza...chef salad...cheesy bread..order complete.",311
"chicken tenders.",604
"Medium the Zeus pizza. 10 wings, honey BBQ flavor with blue cheese dressing.",195
"Lunch special - Turkey classic sandwich, no lettuce.  Chips is fine. Diet coke to drink.",182
"Turky sub with fries",189
"Medium pie....half bacon, half banana pepper, ham, pineapple. Extra cheese on the whole thing. 2 garlic sauces",202
"5 honey musterd n 5 honey bbq",199
"Dinosaur BBQ calzone without jalape}os. One marinara and one BBQ sauce",203
"One chicken salad",212
"Tacos",143
"Bacon rancheros calzone with no onions and order of mozzarella sticks",288
"Small meaty beefy
Small Zeus
Greek salad w/Greek dressing.",757
"(1/3) 1 calzone with pepperoni,  onion, mushroom and spinach..1 calzon",300
"(2/3) e with pepperoni,  basil, sausage and jalapeños...1 calzone pepp",300
"(3/3) eroni,  sausage, jalapeños and onion",300
"1 large pepperoni pizza. 1 large half pepperoni half mushroom.",215
"Garlic rolls, large veggie delight pizza hold the peppers",216
"10 wings honey bbq with side of blue cheese dressing",221
"Test pie",270
"I want the fresh salad lunch combo. Fried chicken salad without red onions and mushrooms. Ranch dressing",299
"Test pizza",233
"Calzone with spinach, mushrooms and pepperoni. Another calzone with onions, peppers and sausage. Greek salad.",226
"A large zeus",236
"Fried chicken parm with fries",230
"1 Italian Stallion with all the sauces on the side and not on the sandwich. .1 buffalo chicken...1 philly cheese steak with no onions",234
"1 order of fries please",227
"6 hotwings 6honeybbq wings",231
"Medium margarita pizza and moms salad.",607
"Can i have a philly cheese stake with chips. The lunch special.",225
"Buffalo chicken sandwich",246
"One BLT with fries.
Chicken nuggets with fries.
5 mild wings and 5 terriyaki wings with ranch",229
"I would like the calzone special today: pepperoni, green peppers, onions, jalape}os. side of extra sauce. For pick up",245
"1 small cheese pizza. 10 honey bbq wings with blue cheese dressing.",244
"Phille cheese stake n fries",249
"Medium cheese pizza",254
"Medium pepperoni half bacon pizza",255
"1 Lamb Gyro with Fries no tomato. 1 Philly cheese steak with fries add lettuce and tomato. And a side of Ranch",259
"Large pepperoni and sausage pizza",261
"10 honey bbq wings with a side of blue cheese dressing",346
"1 Italian Stallion with all the sauces, dressing and mayo on the side and not on the sandwich. .1 buffalo chicken...1 philly cheese steak with no onions",331
"Large pizza with onion, green pepper and tomatoes",343
"Large sausage&mushroom and terryaki wings.",341
"Large dinosaur bbq pizza.",345
"a large cheese pizza with extra cheese please",352
"1 Large pepperoni pizza with extra sauce on pizza and a side of ranch.",729
"Large pepperoni and sausage. ..cheezy bread.",369
"Medium Dinosaur BBQ pizza, no jalapeños or green peppers",364
"Large pepperoni and sausage pizza with cheezy bread.",399
"1. Cheese bread
2. Buffalo Chicken - Grilled - Hot - with Chips.",380
"10 honey bbq wings and a small cheese pizza .",383
"Blue cheese dressing with the wings please.",383
"A medium cheese pizza",367
"One greek salad with extra dressing. One philly cheese steak sandwich with chips-add jalapenos.",372
"I wana get 3 calzones with the same toppings -sausage -mushroom -pepperoni -pineapple",368
"(2/2) 1 with pepperoni,  sausage,  jalapeños and onions.",391
"(1/2) 2 calzones: 1 with pepperoni., basil, sausage and jalapeños and .",391
"Cheese burger, no mayo. Small coke.",623
"Large pepperoni pizza 2 liter coke .",639
"Crispy chicken salad no mushrooms no onion and bellpeppers honeymusterd sauce and 1 order fries with honey musterd sauce.",390
"Calzone (crispy crust!) pepperoni, sausage, tomatoes and black olives and a small cheese pizza.",394
"Chicken nuggets and fries 
10 Hot teriyaki wings.",395
"2 orders total
1st order:
10 wings/hotbbq sauce

2nd order:
10 wings/atomic extra saucy please

Blue cheese for both orders.",396
"Large Pepperoni and sausage with cheesy bread. .",425
"Cheese steak sub.  Only cheese. NO onions or peppers.",416
"1 Medium pizza with pepperoni ( extra sauce on the pizza).",407
"Chicken nuggets and fries.

Chicken strips and fries.

Honey mustard wings.",421
"Fat Boy with pepperoni and chef salad.",418
"Small cheese pizza .",419
"I would like the Saturday special for 32.99 with the two large pepperoni pizzas and 20 wings 10 lemon pepper and 10 ranch.",432
"A medium capriccio pizza.",435
"Italian Stallion,  no mayo, & a small Italian American. .",437
"I would like to order Tuesday calzone special: Pepperoni, green peppers, onions, jalape}o. side of extra red sauce. side of hot sauce.",464
"Kids grilled cheese and fries please <3 <3 <3 <3.",451
"Large Pepperoni and sausage with cheesy bread.",448
"One medium margarita pizza.",848
"One medium veggie pizza.",848
"Large Pepperoni and sausage with cheesy bread. .",472
"Cheesesteak sandwich with fries.",498
"Large pepperoni .",642
"Paisanos pizza robot.",642
"One order of mozzarella sticks and two Dinosaur BBQ calzones with no bacon.",613
"Large sausage and mushroom pizza and an order of barbecue wings.",452
"1 Large pepperoni pizza ( extra sauce on pizza).",482
"Chicken nuggets and fries.",495
"1 medium pizza Italian American .",477
"Chew steak sub. No onions or peppers.",484
"Cheese steak.",484
"Mozerella sticks.",484
"Only one cheesesteak sub.",484
"Chicken nuggets and fries with a sprite.

Fries.",496
"One large dinosaur bbq pizza. And one greek salad with extra dressing. .",511
"tuesday calzone special: Sausage, green peppers, pepperoni jalape}o. extra side red sauce .",525
"tuesday calzone special: Sausage, green peppers, pepperoni jalape}o. extra side red sauce .",525
"tuesday calzone special: Sausage, green peppers, pepperoni jalape}o. extra side red sauce .",525
"A medium capriccio please.",531
"Philly cheese steak with fries and ketchup",148
"10 wings. Honey BBQ. Blue cheese dressing on the side. Medium pizza with mushrooms and banana peppers .",533
"1 order of chocolate balls.",540
"1 large pepperoni pizza.",549
"2 Calzones with pepperoni and sausage .",771
"Calzone 1: pineapple, onions, roasted red pepper
Calzone 2: green pepp, red onion, pepperoni, bacon.",773
"French fries with a side of ranch.",773
"Large bacon rancheros.",673
"one philly with fries",115
"Greek Salad w/ Greek dressing. 
Large pizza: half cheese, half Flying Hawaiian. 
2-Liter Diet Coke.",573
"1 order of mozzarella sticks and 1 medium pizza with pepperoni and red peppers on the whole thing and feta cheese only on half.",556
"Large ranchzilla, regular cheese instead of cheddar cheese. Taco seasoning on the side.",553
"20 wings.",554
"The club",253
"1 large Italian American pizza.",758
"Two lamb gyros with chips. Sauce on the side. Two side caesar salads. And an order of cannoli balls.",550
"1 large pizza.",551
"Chicken nuggets
Fries
Side salad.",580
"Large cheese pizza",125
"10 lemon pepper wings with blue cheese dressing, a large margharita pizza and a side salad with balsamic dressing.",306
"The Colbert with fried chicken add banana peppers",164
"Italian Stallion sub",319
"Mozzarella sticks",319
"chicken nachos + small fly in Hawaiian pizza + 10 hot teriyaki wings",308
"Large pepperoni pizza. Double cheese.",264
"Garlic rolls, large veggie delight pizza hold the peppers",267
"One George Street sandwich, one grilled chicken salad with ranch dressing, and a 2-liter of coke.",317
"Med Italian American, geek salad, provolone fries with ranch",313
"Greek",313
"Large pizza. Half sausage banana peppers and feta. Half ground beef mushrooms red onions.",312
"Large Italian American. Cut into small slices.",322
"20 hot wings 
1 Large pep pizza",85
"Large pizza with green peppers, mushrooms, ground beef.",321
"Grilled chicken salad with balsamic. Small flyin Hawaiian pizza. Chipotle chkn nachos. 10 honey bbq wings",324
"10 wings: hot teriyaki, extra crispy, blue cheese 

Greek salad

Large pizza: half cheese / half Flyin Hawaiian.",761
"Small pepperoni and onion pizza",328
"Garden salad with blue cheese dressing",328
"Side of atomic buffalo sauce",328
"1 large pizza
Italian American
25 hot BBQ",329
"Caesar Salad-add chicken

Philly Cheese Steak w/no peppers or onions

Chips for the side",176
"A large pepperoni pizza and  a large half pepperoni half cheese pizza.",170
"Balls n da ass Dick in da pussy",142
"(1/3) 1 calzone with pepperoni, onion,  mushroom and Spinach...1 calzo",204
"(2/3) ne with pepperoni,  basil, sausage and jalapeño s....1 calzone w",204
"(3/3) ith pepperoni,  sausage, jalapeño and red onions. Thanks.",204
"Margherita calzone",197
"Damnit I already put it a zillion times",206
"Expiration 03/16",205
"Veggie delight",205
"Mozzarella fresca",209
"Side of fries",209
"A Small Colbert pizza with fried chicken and onions added to it",207
"A Greek salad",207
"Turkey classic with onions added to it",210
"10 hot teriyaki wings with blue cheese dressing",210
"20 oz Diet Coke",210
"1 order of mozzarella sticks and 1 small cheese  pizza.",661
"Large pizza - mushrooms, green peppers, sausage",302
"A veggie calzone. Philly cheese steak with no peppers or onions with fries. And another order of fries.",150
"1 Calzone with pepperoni",242
"1 order of cheesy bread",242
"Extra side of ranch",242
"Garlic rolls, large veggie delight pizza hold the peppers",152
"I want calzone pepperoni. That all. How much will be?",224
"How much?",224
"10 wings, half hot, half honey barbecue with ranch. A medium thin crust pizza, pepperoni on half, mushroom on half",342
"Large veggie pizza extra well done
Garden salad.",378
"One large Flavor Country pizza, one order of bacon provolone fries and a 2-liter coke.",385
"Margarita calzone",365
"3 large - one cheese, one pepperoni, one green pepper and mushroom.",384
"3 large pizzas - one cheese, one pepperoni, one mushroom and green pepper.",384
"Only 3 pizzas not six.",384
"Pepperoni calzone",371
"Side Caesar salad",371
"Medium pizza with sausage and pepperoni and an order of cheese sticks Caesar side salad too.",377
"1 large pepperoni pizza.",375
"Fatboy with cheese.",392
"Pay with credit.",392
"Hello.",392
"No cancelled.",392
"!!.",392
